,IP,PORT,匿名度,类型,位置,响应速度,最后验证时间
0,117.90.137.191,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,3秒,2019-01-05 05:30:59
1,180.118.73.226,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,2秒,2019-01-05 04:30:59
2,123.235.32.36,45611,高匿名,HTTP,山东省青岛市 联通,3秒,2019-01-05 03:30:59
3,121.61.3.177,9999,高匿名,HTTP,湖北省咸宁市 电信,3秒,2019-01-05 02:30:56
4,111.177.185.78,9999,高匿名,HTTP,湖北省随州市 电信,2秒,2019-01-05 01:30:59
5,183.148.131.192,9999,高匿名,HTTP,浙江省台州市 电信,1秒,2019-01-05 00:30:56
6,117.87.176.68,9000,高匿名,HTTP,江苏省徐州市 电信,2秒,2019-01-04 23:30:59
7,111.177.161.43,9999,高匿名,HTTP,湖北省随州市 电信,1秒,2019-01-04 22:30:58
8,115.182.212.169,80,高匿名,HTTP,北京市北京市 鹏博士数据 BGP多线,2秒,2019-01-04 21:30:58
9,111.177.164.95,9999,高匿名,HTTP,湖北省随州市 电信,2秒,2019-01-04 20:30:59
10,119.254.94.71,34445,高匿名,HTTP,北京市海淀区 BJENET宽带网络 BGP多线,2秒,2019-01-04 19:30:59
11,139.159.246.39,8118,高匿名,HTTP,广东省广州市 华为企业云 BGP多线,1秒,2019-01-04 18:30:59
12,180.110.5.93,3128,高匿名,HTTP,江苏省南京市 电信,3秒,2019-01-04 17:30:59
13,121.232.199.247,9000,高匿名,HTTP,中国 江苏省 镇江市 电信,0.8秒,2019-01-04 16:30:57
14,119.101.115.204,9999,高匿名,HTTP,湖北省潜江市 电信,2秒,2019-01-04 15:31:00
